"Track","StartUtc","EndUtc","Points"
"2022\2022-09 - Canada - BC, AB - Canadian Rockies\2022-09-28 - Lake Louise, Lake Louise Chairlift, Banff Gondola.gpx","2022-09-28T13:43:29Z","2022-09-28T23:12:15Z","13483"
"2022\2022-09 - Canada - BC, AB - Canadian Rockies\2022-09-29 - Canada - Lake Louise to Waterton Lakes National Park.gpx","2022-09-29T15:25:07Z","2022-09-29T21:36:22Z","12526"
"2022\2022-09 - Canada - BC, AB - Canadian Rockies\2022-09-29 - Waterton Lakes - Prince of Wales Hotel and Cameron Lake.gpx","2022-09-29T22:43:27Z","2022-09-30T01:26:56Z","3025"
"2022\2022-09 - Canada - BC, AB - Canadian Rockies\2022-09-30 - Glacier NP.gpx","2022-09-30T15:27:13Z","2022-09-30T22:51:35Z","15852"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 01 - 2022-12-04 to 2022-12-07 - Cruise Segment 1 - Port Canaveral to Cartagena, Colombia.gpx","2022-12-04T15:53:54Z","2022-12-07T16:09:42Z","9118"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 02 - 2022-12-07 - Colombia - Cartagena.gpx","2022-12-07T16:10:19Z","2022-12-07T19:15:52Z","3146"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 03 - 2022-12-07 to 2022-12-08 - Cruise Segment 2 - Cartagena to Panama City -- CLEANED.gpx","2022-12-07T21:55:04Z","2022-12-09T02:47:30Z","6359"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 03 - 2022-12-07 to 2022-12-08 - Cruise Segment 2 - Cartagena to Panama City.gpx","2022-12-07T21:55:04Z","2022-12-09T02:47:30Z","6362"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 04 - 2022-12-09 - Panama - Panama City.gpx","2022-12-09T13:18:19Z","2022-12-09T17:44:46Z","8299"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 05 - 2022-12-09 to 2022-12-11 - Cruise Segment 3 - Panama City to Guatemala.gpx","2022-12-09T22:44:13Z","2022-12-11T17:24:03Z","8019"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 06 - 2022-12-11 - Guatemala - Puerto Quetzal.gpx","2022-12-11T19:17:57Z","2022-12-12T00:07:11Z","9377"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 07 - 2022-12-11 to 2022-12-13 - Cruise Segment 4 - Guatamala to Acapulco.gpx","2022-12-12T04:22:06Z","2022-12-13T13:04:25Z","1789"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 08 - 2022-12-13 - Mexico - Acapulco.gpx","2022-12-13T15:32:36Z","2022-12-13T19:42:55Z","9444"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 09 - 2022-12-13 to 2022-12-15 - Cruise Segment 5 - Acapulco to Puerto Vallarta.gpx","2022-12-14T00:18:55Z","2022-12-15T13:31:49Z","4180"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 10 - 2022-12-15 - Mexico - Puerto Vallarta.gpx","2022-12-15T14:08:17Z","2022-12-15T20:58:44Z","17449"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 11 - 2022-12-15 to 2022-12-16 - Cruise Segment 6 - Puerto Vallarta to Cabo San Lucas.gpx","2022-12-15T22:57:17Z","2022-12-16T14:36:09Z","1236"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 12 - 2022-12-16 - Mexico - Cabo San Lucas.gpx","2022-12-16T15:23:18Z","2022-12-16T20:25:53Z","10317"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 13 - 2022-12-16 to 2022-12-18 - Cruise Segment 7 - Cabo San Lucas to Los Angeles.gpx","2022-12-17T04:22:02Z","2022-12-18T14:36:29Z","688"
"2022\2022-12 - Panama Canal Cruise\2022-12 Cruise - Trace 14 - 2022-12-18 - Port of Long Beach to SNA Airport Hotel.gpx","2022-12-18T16:57:50Z","2022-12-18T17:47:56Z","1916"
"2023\2023-05 - USA - South Carolina - Charleston\2023-05-06 - USA - SC - Charleston.gpx","2023-05-06T18:52:52Z","2023-05-06T22:30:08Z","5934"
"2023\2023-09 - USA & Canada - Washington and BC\2023-09-10 01 - Morning Walk.gpx","2023-09-10T13:43:28Z","2023-09-10T14:31:25Z","1153"
"2023\2023-09 - USA & Canada - Washington and BC\2023-09–10 02 - McLane Creek Nature Trail.gpx","2023-09-10T16:40:49Z","2023-09-10T18:04:29Z","1280"
"2023\2023-09 - USA & Canada - Washington and BC\2023-09-11 01 - US - Washington - Olympia - Morning Walk.gpx","2023-09-11T13:43:41Z","2023-09-11T14:20:47Z","870"
"2023\2023-09 - USA & Canada - Washington and BC\2023-09-11 02 - US - Washington - Olympia To Ruby Beach.gpx","2023-09-11T16:46:54Z","2023-09-12T02:56:10Z","12602"
"2023\2023-09 - USA & Canada - Washington and BC\2023-09-12 - Ruby Beach to Forks.gpx","2023-09-12T16:49:32Z","2023-09-13T02:35:23Z","11236"
"2023\2023-09 - USA & Canada - Washington and BC\2023-09-13 - USA - WA - Forks.gpx","2023-09-13T13:17:01Z","2023-09-14T01:27:28Z","13894"
"2023\2023-09 - USA & Canada - Washington and BC\2023-09-14 - Forks, WA, US to Victoria, BC, CA.gpx","2023-09-14T15:38:18Z","2023-09-14T21:57:05Z","8116"
"2023\2023-09 - USA & Canada - Washington and BC\2023-09-15 - CA - BC - Victoria.gpx","2023-09-15T17:15:18Z","2023-09-15T20:36:09Z","8518"
"2023\2023-09 - USA & Canada - Washington and BC\2023-09-16 - Floral Gardens, Victoria, BC.gpx","2023-09-16T18:31:28Z","2023-09-16T21:11:43Z","3601"
"2023\2023-09 - USA & Canada - Washington and BC\2023-09-17 - Victoria, BC to N Vancouver, BC, CA.gpx","2023-09-17T15:41:29Z","2023-09-17T23:31:58Z","14556"
"2023\2023-11 - USA - Utah - Moab, Monument Valley\2023-11-15 02 - USA - Utah - Canyonlands NP.gpx","2023-09-18T18:04:42Z","2023-11-16T01:31:26Z","15354"
"2023\2023-11 - USA - Utah - Moab, Monument Valley\2023-11-14 - USA - Utah - Dead Horse Point SP, Canyonlands NP.gpx","2023-11-14T21:28:01Z","2023-11-15T00:47:56Z","8775"
"2023\2023-11 - USA - Utah - Moab, Monument Valley\2023-11-15 01 - USA - Utah - Arches NP.gpx","2023-11-15T13:51:23Z","2023-11-15T17:39:59Z","6983"
"2023\2023-11 - USA - Utah - Moab, Monument Valley\2023-11-16 01 - USA - Utah - Dead Horse Point SP.gpx","2023-11-16T13:59:46Z","2023-11-16T17:01:24Z","5277"
"2023\2023-11 - USA - Utah - Moab, Monument Valley\2023-11-16 02 - USA - Utah - Needles Overlook.gpx","2023-11-16T17:01:28Z","2023-11-16T23:59:27Z","9639"
"2023\2023-11 - USA - Utah - Moab, Monument Valley\2023-11-16 03 - USA - Utah - Colorado River Canyon.gpx","2023-11-16T23:59:34Z","2023-11-17T00:08:46Z","494"
"2023\2023-11 - USA - Utah - Moab, Monument Valley\2023-11-17 - USA - Utah - Monument Valley.gpx","2023-11-17T13:54:57Z","2023-11-18T00:44:37Z","18387"
"2023\2023-11 - USA - Utah - Moab, Monument Valley\2023-11-18 - USA - Utah - Monument Valley.gpx","2023-11-18T14:14:36Z","2023-11-18T19:08:54Z","16005"
"2024\2024-09 - NM & CO & UT\2024-09-28 - NM - ABQ - Sandia Heights.gpx","2024-09-28T22:41:38Z","2024-09-28T23:40:32Z","3348"
"2024\2024-09 - NM & CO & UT\2024-09-29 - ABQ - NW Suburbs, Sandia Tram.gpx","2024-09-29T15:37:32Z","2024-09-29T20:03:23Z","6750"
"2024\2024-09 - NM & CO & UT\2024-09-30 - US - NM - Santa Fe.gpx","2024-09-30T14:46:29Z","2024-09-30T19:30:39Z","16474"
"2024\2024-09 - NM & CO & UT\2024-10-01 - US - NM-CO - Santa Fe to Durango.gpx","2024-10-01T15:34:36Z","2024-10-02T01:46:42Z","27043"
"2024\2024-09 - NM & CO & UT\2024-10-02 - US - Colorado - Durango.gpx","2024-10-02T14:36:58Z","2024-10-02T21:42:08Z","22520"
"2024\2024-09 - NM & CO & UT\2024-10-03 - US - Colorado - Durango.gpx","2024-10-03T22:15:31Z","2024-10-04T00:44:32Z","8851"
